accuracy,precision,recall,f1_score,lr,num_epochs,batch_size,hidden_sizes,activation,optimizer,dropout_rate,positive_percentage,run_dir
0.9182050553819937,0.9181030509998418,0.9182050553819937,0.915195187443119,1e-05,100,16,[512],relu,Adam,0.1,0.4,runc5c40_00024
0.9218971882987788,0.9230217087274818,0.9218971882987788,0.9187555606670907,1e-05,100,16,[1024],relu,Adam,0.2,0.4,runc5c40_00023
0.7118919138231834,0.5067900969668347,0.7118919138231834,0.5920818865660927,1e-05,100,16,"[256, 16]",relu,Adam,0.1,0.4,runc5c40_00015
0.9033148050472675,0.9056603075765227,0.9033148050472675,0.8977452835183184,1e-05,100,16,"[256, 16]",relu,Adam,0.2,0.4,runc5c40_00012
0.9159329735870492,0.9173992410067151,0.9159329735870492,0.9119075214476138,1e-05,100,16,[512],relu,Adam,0.2,0.4,runc5c40_00046
0.9129035311937896,0.9126267016449356,0.9129035311937896,0.9103846622181598,1e-05,100,16,[512],relu,Adam,0.1,0.5,runc5c40_00041
0.915364953138313,0.9144246967882282,0.915364953138313,0.9139636988202376,1e-05,100,16,[1024],relu,Adam,0.2,0.5,runc5c40_00048
0.9026250659309449,0.9050008389502299,0.9026250659309449,0.896999577983687,1e-05,100,16,"[256, 16]",relu,Adam,0.2,0.4,runc5c40_00013
0.9184417305689672,0.9180400771693324,0.9184417305689672,0.9165259557751979,1e-05,100,16,[1024],relu,Adam,0.2,0.5,runc5c40_00014
0.9170690144845215,0.9164587061509742,0.9170690144845215,0.9141700363398265,1e-05,100,16,[1024],relu,Adam,0.1,0.4,runc5c40_00022
0.9171163495219161,0.9179874029669327,0.9171163495219161,0.9147419983165725,1e-05,100,16,[512],relu,Adam,0.2,0.5,runc5c40_00025
0.9187325029415344,0.9182703781839522,0.9187325029415344,0.915753578612067,1e-05,100,16,[1024],relu,Adam,0.1,0.4,runc5c40_00049
0.9160952651438309,0.9148278052288424,0.9160952651438309,0.9136381533862853,1e-05,100,16,[512],relu,Adam,0.1,0.4,runc5c40_00040
0.9052623037286485,0.9084058443632268,0.9052623037286485,0.8997145923834393,1e-05,100,16,"[256, 16]",relu,Adam,0.1,0.4,runc5c40_00047
0.9158856385496544,0.915177791255276,0.9158856385496544,0.9138567202311032,1e-05,100,16,[512],relu,Adam,0.2,0.5,runc5c40_00053
0.9174476947836788,0.9180929563939889,0.9174476947836788,0.9149460694312608,1e-05,100,16,[1024],relu,Adam,0.2,0.5,runc5c40_00038
0.9070880837424433,0.9062348793289451,0.9070880837424433,0.9036864414356234,1e-05,100,16,"[256, 16]",relu,Adam,0.1,0.4,runc5c40_00007
0.9200308353957886,0.9210593608876497,0.9200308353957886,0.9166352156514986,1e-05,100,16,[1024],relu,Adam,0.2,0.4,runc5c40_00000
0.9114834800719492,0.9114536579927499,0.9114834800719492,0.9088042191175567,1e-05,100,16,[256],relu,Adam,0.2,0.5,runc5c40_00009
0.9170690144845215,0.9187786624416865,0.9170690144845215,0.9132349566543949,1e-05,100,16,[256],relu,Adam,0.2,0.4,runc5c40_00036
0.9174747433764758,0.9177469517931008,0.9174747433764758,0.9142510082606986,1e-05,100,16,[512],relu,Adam,0.2,0.4,runc5c40_00031
0.8997849636872641,0.9032328181249334,0.8997849636872641,0.893455118167977,1e-05,100,16,"[256, 16]",relu,Adam,0.2,0.4,runc5c40_00052
0.9167376692227587,0.916613868298207,0.9167376692227587,0.9145098817729533,1e-05,100,16,[1024],relu,Adam,0.1,0.5,runc5c40_00030
0.9100093317645149,0.9106220463623493,0.9100093317645149,0.9053627444452468,1e-05,100,16,[256],relu,Adam,0.1,0.4,runc5c40_00008
0.9161358380330263,0.9159241653284567,0.9161358380330263,0.9128918124626865,1e-05,100,16,[256],relu,Adam,0.1,0.4,runc5c40_00037
0.9138028969042885,0.9145253943311659,0.9138028969042885,0.9109015001775349,1e-05,100,16,[256],relu,Adam,0.2,0.5,runc5c40_00001
0.7118919138231834,0.5067900969668347,0.7118919138231834,0.5920818865660927,1e-05,100,16,"[256, 16]",relu,Adam,0.1,0.4,runc5c40_00039
0.9160546922546354,0.915172966276347,0.9160546922546354,0.9130492386511572,1e-05,100,16,[1024],relu,Adam,0.2,0.4,runc5c40_00006
0.9176370349332575,0.9184122750705316,0.9176370349332575,0.9153375183641879,1e-05,100,16,[1024],relu,Adam,0.2,0.5,runc5c40_00042
0.9201525540633748,0.9202065076456358,0.9201525540633748,0.9170648952701379,1e-05,100,16,[512],relu,Adam,0.2,0.4,runc5c40_00045
0.9062360530693391,0.9080590343771616,0.9062360530693391,0.901232490364102,1e-05,100,16,"[256, 16]",relu,Adam,0.1,0.4,runc5c40_00020
0.91654832907318,0.9171811579856515,0.91654832907318,0.9141969747294947,1e-05,100,16,[512],relu,Adam,0.2,0.5,runc5c40_00027
0.9142762472782353,0.9166953931031605,0.9142762472782353,0.9110170733164958,1e-05,100,16,[1024],relu,Adam,0.1,0.5,runc5c40_00018
0.9112468048849759,0.9113955468691917,0.9112468048849759,0.9086695287365647,1e-05,100,16,[256],relu,Adam,0.1,0.5,runc5c40_00011
0.8982770046388336,0.897127482313004,0.8982770046388336,0.8953944152752285,1e-05,100,16,"[256, 16]",relu,Adam,0.1,0.5,runc5c40_00016
0.9203148456201566,0.9199223616412323,0.9203148456201566,0.9176319251362622,1e-05,100,16,[512],relu,Adam,0.1,0.4,runc5c40_00029
0.9143506309084269,0.916484655932017,0.9143506309084269,0.9099581419684868,1e-05,100,16,[256],relu,Adam,0.1,0.4,runc5c40_00044
0.9173056896714948,0.9167330881663931,0.9173056896714948,0.9157469352051046,1e-05,100,16,[1024],relu,Adam,0.2,0.5,runc5c40_00043
0.9193816691686615,0.9209864177482278,0.9193816691686615,0.9158841141537611,1e-05,100,16,[1024],relu,Adam,0.1,0.4,runc5c40_00017
0.9170690144845215,0.9179835360717529,0.9170690144845215,0.9144845913602839,1e-05,100,16,[1024],relu,Adam,0.1,0.5,runc5c40_00028
0.9151756129887343,0.9158567025411516,0.9151756129887343,0.9123780418861872,1e-05,100,16,[512],relu,Adam,0.2,0.5,runc5c40_00010
0.9198685438390067,0.9207143876173389,0.9198685438390067,0.9168435536210383,1e-05,100,16,[1024],relu,Adam,0.1,0.4,runc5c40_00026
0.9127141910442109,0.9141239303551848,0.9127141910442109,0.9095026119822652,1e-05,100,16,[256],relu,Adam,0.2,0.5,runc5c40_00019
0.9038152040140112,0.9057310252337082,0.9038152040140112,0.899979220292118,1e-05,100,16,"[256, 16]",relu,Adam,0.2,0.5,runc5c40_00021
0.8989870301997539,0.9038277683061203,0.8989870301997539,0.8938053472956143,1e-05,100,16,"[256, 16]",relu,Adam,0.2,0.5,runc5c40_00003
0.9029496490445085,0.9065509086039234,0.9029496490445085,0.8973059572896105,1e-05,100,16,"[256, 16]",relu,Adam,0.1,0.4,runc5c40_00004
0.9199902625065931,0.9219388787724466,0.9199902625065931,0.9163575140513885,1e-05,100,16,[512],relu,Adam,0.1,0.4,runc5c40_00032
0.914039572091262,0.9142182945493542,0.914039572091262,0.9122242099201154,1e-05,100,16,[1024],relu,Adam,0.1,0.5,runc5c40_00035
0.9162575567006126,0.9169955121931228,0.9162575567006126,0.9125929723709294,1e-05,100,16,[256],relu,Adam,0.1,0.4,runc5c40_00050
0.9158518278086583,0.9163442971636379,0.9158518278086583,0.9116049556954637,1e-05,100,16,[1024],relu,Adam,0.2,0.4,runc5c40_00034
0.9151756129887343,0.9150950570580899,0.9151756129887343,0.9129780135498722,1e-05,100,16,[256],relu,Adam,0.2,0.5,runc5c40_00033
0.9109019353268146,0.911888714054021,0.9109019353268146,0.9062313352062663,1e-05,100,16,[256],relu,Adam,0.2,0.4,runc5c40_00005
0.921450886517629,0.9217373438273578,0.921450886517629,0.918598805643219,1e-05,100,16,[1024],relu,Adam,0.1,0.4,runc5c40_00002
0.9233983851990101,0.9239190945503336,0.9233983851990101,0.9204633841877419,1e-05,100,16,[512],relu,Adam,0.2,0.4,runc5c40_00051
